width	sample4p	sample4m	sample5p	sample5m	sample6p	sample6m	sample7p	sample7m	sample8p	sample8m	sample9p	sample9m	sample10p	sample10m	sample11p	sample11m	sample12p	sample12m	sample13p	sample13m	sample14p	sample14m	sample15p	sample15m
WBGene00046249	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046426	21	0	2	0	1	0	1	2	1	5	1	2	0	0	2	2	1	0	1	0	0	1	0	3	0
WBGene00046513	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046691	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046749	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	1	0	0
WBGene00046778	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046826	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00046847	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010084	769	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
WBGene00046884	21	3	1	1	1	1	0	0	1	0	0	1	2	0	0	0	1	1	1	0	5	1	3	1	0
WBGene00046962	21	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
WBGene00047155	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047164	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047211	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WBGene00047249	21	0	0	2	0	0	1	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	1	0
WBGene00047317	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1
WBGene00047486	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010085	1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047544	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00047624	21	0	0	0	2	1	0	3	1	3	0	2	1	0	0	0	2	0	0	0	1	1	0	0	1
WBGene00047825	21	1	1	0	0	2	0	0	0	0	0	4	1	0	0	3	0	0	0	1	0	0	1	2	1
WBGene00048013	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048022	21	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048041	21	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	3
WBGene00048212	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048304	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048322	21	0	0	1	1	0	1	1	0	1	0	2	0	0	0	0	1	0	0	0	0	1	0	1	0
WBGene00048609	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048759	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00048968	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010086	553	109	87	91	92	114	51	97	132	161	163	191	304	325	548	513	969	812	1697	1354	2106	1637	1965	1824	1823
WBGene00049192	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049206	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049324	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049580	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049583	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
WBGene00049608	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049638	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00049666	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010087	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050045	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050048	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050189	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050208	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00050286	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
WBGene00050375	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050605	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050693	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050819	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00050843	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00044249	486	54	65	65	63	70	29	54	58	55	48	51	65	60	61	81	66	53	88	59	54	60	64	56	63
WBGene00165021	21	0	0	1	0	1	2	1	3	1	3	0	2	1	2	0	2	1	0	1	0	0	3	3	1
WBGene00165057	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165070	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
WBGene00165234	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165570	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165606	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165843	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165855	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00165882	21	35	37	45	47	43	18	48	53	63	59	41	48	39	62	38	45	38	42	43	23	25	37	39	32
WBGene00166059	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045060	987	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166184	21	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166464	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166685	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00166890	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
WBGene00166897	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167195	21	1	2	1	0	5	7	4	2	4	7	4	3	3	2	3	7	1	2	2	3	4	3	7	2
WBGene00167398	21	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00167518	21	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1
WBGene00167608	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00167991	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00045564	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168009	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168112	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168116	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0
WBGene00168140	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168215	21	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168248	21	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168284	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168442	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168611	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0
WBGene00168689	21	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1
WBGene00045612	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00168915	21	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0
WBGene00168927	21	0	0	1	0	1	2	1	3	1	3	0	2	1	2	0	2	2	0	1	1	0	3	3	1
WBGene00169013	21	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	3
WBGene00169176	21	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	3
WBGene00169373	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169374	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169391	21	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0
WBGene00169475	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169495	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00169629	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000447	900	66	68	71	77	64	26	73	60	53	46	67	50	58	52	50	72	60	66	58	52	60	55	60	42
WBGene00077439	252	3	1	0	1	1	0	1	1	0	0	0	1	5	0	5	3	3	14	3	8	5	3	18	2
WBGene00195398	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00195941	217	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
WBGene00198506	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199811	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00010088	984	7	6	10	7	18	13	29	30	39	21	40	37	32	40	42	49	19	20	17	18	12	5	4	4
WBGene00004767	2665	2728	2633	2820	2819	2837	1527	2995	2514	2972	2381	2964	2552	3045	2796	3181	2880	2767	3715	2637	2684	2744	2821	2701	2567
WBGene00010089	1489	1258	1150	1246	1242	1243	694	1398	1121	1474	1208	1472	1165	1598	1270	1579	1358	1447	2050	1138	1212	1384	1143	1449	1111
WBGene00003812	1932	1074	996	996	1126	1067	569	1140	1055	1159	1110	1270	1257	1395	1370	1492	1596	1545	2189	1471	1678	1742	1659	1969	1521
WBGene00006210	1233	0	1	1	4	2	0	5	0	2	0	4	6	7	8	5	7	6	8	6	10	2	8	9	5
WBGene00006019	1020	0	2	1	0	3	0	0	0	0	3	0	0	1	0	3	2	1	2	0	0	2	0	2	2
WBGene00005908	867	0	0	4	2	1	0	4	1	2	0	0	1	2	2	1	1	0	1	1	0	2	1	0	0
WBGene00006020	1528	8	4	5	7	4	2	8	11	3	8	9	9	11	9	5	7	12	9	8	15	14	7	17	14
WBGene00000554	979	2097	1837	2100	2167	2169	1283	2295	2251	2451	2179	2594	2397	2662	2681	2764	2844	2614	3480	2558	2770	2580	2545	2460	2250
WBGene00200032	145	1	2	5	3	4	0	2	6	1	1	5	7	0	0	0	4	1	6	4	5	6	9	7	3
WBGene00201214	138	1	2	6	8	2	0	3	2	0	5	3	3	2	6	2	5	0	2	1	5	0	0	1	2
WBGene00000727	955	15	37	43	98	138	122	246	332	347	549	597	838	834	890	997	1038	1136	1707	899	846	1300	720	1191	536
WBGene00000728	919	1	4	4	21	5	8	6	54	8	62	16	108	23	92	23	134	33	57	126	105	37	96	38	103
WBGene00010108	1661	4	2	6	25	10	14	12	71	24	49	64	117	16	30	47	28	21	54	18	10	21	15	56	5
WBGene00010109	440	203	172	186	189	170	120	201	183	244	195	190	189	241	178	251	182	244	316	142	149	233	171	232	158
WBGene00170192	21	1	0	1	0	1	2	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0
WBGene00195423	134	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
WBGene00196237	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00197183	219	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	1	1	0	1	2	0	0
WBGene00196578	207	0	0	2	2	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
WBGene00197328	170	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00197845	145	2	2	1	3	0	2	3	5	0	3	0	2	2	5	1	4	0	3	0	5	2	2	0	2
WBGene00198639	147	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0
WBGene00201284	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201294	140	14	22	10	13	17	12	18	20	21	24	24	30	19	22	16	17	19	19	20	10	11	18	22	16
WBGene00202082	150	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0
WBGene00202105	115	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00202336	140	5	0	0	1	0	0	0	2	1	1	2	1	1	1	1	1	1	0	1	1	2	1	3	0
WBGene00018869	2218	2856	3275	2950	3842	3070	2312	3588	4258	4211	4765	5095	5926	4887	5663	4974	5201	3969	4615	3684	3036	3160	2594	3384	2120
WBGene00018870	596	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0
WBGene00018871	894	318	363	342	351	360	217	352	364	417	336	412	351	456	485	513	484	494	697	456	405	477	368	441	289
WBGene00018872	3266	3022	2769	2901	3114	3083	1624	3268	2950	3512	2838	3542	2840	3551	2942	3549	2899	3320	4477	2674	2770	3175	2649	3341	2363
WBGene00018873	1039	138	67	127	63	94	23	73	27	60	18	48	8	29	7	14	3	8	5	5	5	4	15	8	6
WBGene00018874	659	226	239	217	250	209	165	251	252	238	243	281	268	334	474	545	645	581	998	675	730	678	640	560	361
WBGene00195808	349	0	4	5	6	6	4	3	10	3	8	5	8	2	8	6	6	5	6	5	6	7	9	1	1
WBGene00196549	149	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
WBGene00010091	478	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00010098	466	0	0	0	1	0	0	1	1	1	0	2	0	0	0	1	0	4	0	1	1	0	2	1	0
WBGene00044791	633	38	26	23	19	17	9	22	21	17	20	15	23	21	17	26	13	24	33	15	27	21	16	25	11
WBGene00195971	126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00196123	134	23	17	9	7	12	2	10	6	12	8	8	6	19	6	9	5	16	19	8	10	11	13	11	9
WBGene00196838	239	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	2	1	3	0	4
WBGene00196997	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201677	121	1	1	1	0	0	0	2	3	1	1	2	0	1	2	1	0	1	2	0	0	2	2	3	1
WBGene00010092	902	19	6	47	7	188	3	336	5	509	8	581	30	434	40	357	50	306	435	109	131	280	137	206	74
WBGene00006677	2131	192	254	192	239	201	145	267	319	319	364	346	460	457	633	564	734	583	948	636	737	715	740	752	716
WBGene00010093	3188	1918	1792	1808	1907	2100	1091	2311	2034	2356	1946	2231	1921	2361	2009	2248	1961	1912	2385	1555	1491	1481	1411	1495	1305
WBGene00010094	1094	5093	4615	5033	5070	4922	2602	5129	4784	5243	4811	5065	4818	4935	5141	4726	5351	4275	5208	4571	4711	3349	4193	3102	4094
WBGene00010095	1314	9	10	16	16	10	8	12	12	6	6	6	6	11	11	7	13	12	13	10	14	6	13	9	13
WBGene00010096	2889	2512	2230	2413	2418	2435	1352	2436	2290	2449	2153	2685	2251	2641	2356	2587	2334	2460	3278	2186	2422	2399	2315	2359	2145
WBGene00010097	2271	8041	7396	8095	7925	7693	4122	7680	6836	7593	6550	7292	6186	7460	6794	7521	6655	7000	8994	6006	6292	6223	5904	5996	5451
WBGene00005241	1002	1	4	3	5	3	1	3	2	2	5	1	1	2	3	3	3	1	5	1	2	0	1	5	1
WBGene00018868	267	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	2	0	1	0	0
WBGene00006805	9064	8109	7659	7560	7948	7819	4193	7512	7239	9017	8008	8424	7829	8914	7514	8872	8116	8664	10460	7070	6794	7986	6926	8121	6194
WBGene00170333	21	2	1	1	1	1	0	2	0	0	0	0	2	2	1	1	0	0	1	0	0	2	1	1	1
WBGene00010099	1032	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00010106	962	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
WBGene00010107	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WBGene00044197	879	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00077663	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00010100	605	3	9	21	7	23	3	16	10	11	10	12	5	11	5	10	3	13	18	2	6	12	10	18	6
WBGene00010101	867	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0
WBGene00010102	441	6	10	11	14	25	7	24	8	13	13	13	6	6	9	6	5	11	25	6	11	21	20	31	14
WBGene00010103	417	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2
WBGene00010104	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
WBGene00010105	843	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
WBGene00018877	3100	789	717	833	831	838	429	927	741	920	754	933	731	994	895	1007	938	955	1387	856	940	969	917	1088	921
WBGene00004438	501	17256	20714	20928	23538	21384	9570	18411	15831	17358	17871	22218	20743	18224	17379	18445	19299	16753	23672	20858	20546	18250	15960	18628	16088
WBGene00018878	2434	2405	2035	2473	2228	2408	1138	1921	1630	1858	1658	1581	1506	2006	2120	1957	2263	1833	2374	2051	2276	1650	2209	1397	2211
WBGene00018879	1200	108	102	103	109	108	54	118	112	115	115	106	97	122	110	109	122	128	156	118	122	132	111	100	96
WBGene00018880	1629	89	89	102	84	82	51	102	78	78	85	104	84	86	57	109	73	97	99	55	45	58	58	46	72
WBGene00195743	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00198786	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00200680	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201706	171	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00018875	276	0	0	1	0	1	0	0	1	2	0	3	1	0	1	2	0	2	2	1	0	1	1	1	0
WBGene00018876	279	1	0	1	2	3	0	0	1	1	0	0	3	0	5	2	0	2	6	0	0	0	0	2	1
WBGene00010110	825	51	177	43	123	56	96	82	166	72	127	97	119	79	137	114	143	71	94	150	127	73	133	72	138
WBGene00010111	2535	3196	2178	2709	1843	2253	898	2123	1917	2389	3041	2732	4818	3622	6309	4031	6509	3829	4536	4370	3070	2398	1938	1763	1234
WBGene00006790	1119	103	83	101	78	109	56	80	93	84	85	90	98	86	94	89	81	79	97	95	75	78	85	87	57
WBGene00010113	2589	418	431	510	455	553	284	554	515	692	620	642	612	671	623	737	659	695	809	612	605	678	666	678	540
WBGene00010114	601	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
WBGene00003339	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201801	122	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0
WBGene00202233	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00198890	81	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0
WBGene00018881	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199526	74	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199925	68	1	5	3	3	0	0	3	3	5	2	3	1	3	2	4	2	5	1	2	3	3	3	0	0
WBGene00018882	294	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00018883	342	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
WBGene00018884	1272	0	0	3	0	0	0	0	0	1	1	2	0	1	4	1	0	1	0	2	1	1	0	0	1
WBGene00018885	1189	1083	966	1062	1066	1013	605	1113	1006	1186	1005	1094	1001	1147	987	1025	985	892	1037	800	798	709	618	685	521
WBGene00018886	2189	414	459	420	502	435	328	384	484	419	494	478	546	551	636	619	756	632	949	718	830	703	895	709	698
WBGene00195428	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00196239	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00018898	13411	24978	24033	23756	24020	24054	12588	22297	19504	24718	22596	23256	23253	23618	23997	23323	24614	24043	26316	22155	21074	20377	20960	20107	19379
WBGene00050916	606	4	8	10	9	6	2	3	8	8	6	8	5	14	5	4	8	10	8	7	2	8	9	8	5
WBGene00018887	288	66	79	86	98	118	53	91	110	132	134	143	102	134	92	105	99	102	83	66	55	68	70	63	61
WBGene00200285	148	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
WBGene00018888	426	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
WBGene00018889	580	66	53	83	86	97	52	118	100	108	103	114	105	131	83	101	91	79	107	66	39	52	34	47	46
WBGene00172056	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00194671	672	145	146	163	217	225	154	238	217	289	264	256	234	272	203	217	204	181	195	139	139	123	113	142	124
WBGene00196317	160	0	7	6	4	5	3	2	3	3	2	4	3	9	0	0	1	0	0	3	3	4	4	4	4
WBGene00197383	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
WBGene00198283	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00199521	145	1	1	1	3	4	3	0	6	4	5	3	7	7	6	2	2	2	1	0	4	1	3	3	3
WBGene00010115	1122	1003	1043	975	1165	1110	736	1044	1197	1158	1161	1260	1165	1355	1212	1343	1207	1332	1873	1146	1194	1585	1183	1704	1028
WBGene00010116	1719	1111	968	1022	1071	1016	541	918	932	987	934	1000	952	1043	992	934	1003	861	1134	916	900	744	759	797	693
WBGene00010117	1713	2860	3162	2884	2805	2557	1590	2720	2559	2656	2898	3430	3452	3736	4590	4819	4985	4735	6889	5331	6285	6207	6389	7236	5736
WBGene00010118	2646	771	806	888	907	975	586	985	1097	1101	1111	927	1144	1011	1090	887	985	693	713	689	642	436	455	312	355
WBGene00196964	149	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	2	0
WBGene00198233	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
WBGene00200440	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00201369	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
WBGene00014398	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
WBGene00014399	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
WBGene00004224	2930	2925	2681	2056	1759	1445	626	1057	634	785	369	772	205	677	155	591	102	372	384	82	125	282	226	264	480
WBGene00018890	2440	3951	3432	3902	3857	3979	2146	3982	3848	4269	3684	3923	3467	3988	3958	3983	4119	3998	5404	3485	3937	3796	3911	3511	3670
WBGene00018891	3003	6001	5677	6199	6232	6335	3376	6518	5870	6675	5712	6159	5482	6221	5967	6069	5940	5510	7009	5009	5176	4642	5067	4433	4737
WBGene00018892	1836	1975	1791	2009	1951	1960	1048	1932	1769	2023	1651	1979	1666	2034	1890	2024	1903	1958	2644	1786	2027	1815	1919	1872	1863
WBGene00018893	1451	2997	2687	3069	3017	2995	1548	3073	2917	3246	2821	2968	2736	2910	2992	2839	2927	2724	3413	2596	2814	2295	2591	2144	2441
WBGene00018894	1379	1661	1485	1631	1606	1641	879	1745	1611	1716	1510	1621	1492	1677	1649	1654	1624	1563	1981	1524	1628	1303	1528	1256	1451
WBGene00018895	1476	4	0	12	7	1	1	6	3	3	2	4	1	0	0	1	3	0	1	1	1	1	2	1	3
WBGene00018896	772	6	6	6	12	6	23	27	59	34	74	60	116	59	131	101	134	91	117	136	87	62	49	75	33
WBGene00018897	1965	1147	1039	1170	1149	1127	652	1201	1274	1316	1408	1260	1439	1286	1544	1276	1378	1012	1305	1057	955	866	1052	807	996
WBGene00018899	1006	239	210	272	286	318	172	320	286	349	245	231	167	194	175	136	108	81	75	70	34	41	20	14	10
